IP,subscriptionId,vnetName,peeringState,peeringSyncLevel
172.168.10.0/24,f406059a-f933-45e0-aefe-e37e0382d5de,spoke-vnet,Connected,FullyInSync
172.168.11.0/24,f406059a-f933-45e0-aefe-e37e0382d5de,spoke-vnet,Connected,FullyInSync
